run,freq,val
81,610,13.23
81,680,1.97
81,730,0.84
81,760,0.86
81,810,0.85
81,860,0.00
81,560,5.97
81,585,1.91
81,645,2.46
81,705,0.36
81,900,0.00
81,940,0.00
81,410,1.91
81,435,3.64
81,460,3.74
81,485,6.67
81,510,3.20
81,535,4.30
 
82,610,13.23
82,680,1.97
82,730,0.84
82,760,0.86
82,810,0.85
82,860,0.00
82,560,5.97
82,585,1.91
82,645,2.46
82,705,0.36
82,900,0.00
82,940,0.00
82,410,1.91
82,435,3.64
82,460,3.74
82,485,6.67
82,510,3.20
82,535,4.30
 
83,610,13.23
83,680,1.97
83,730,0.84
83,760,0.86
83,810,0.85
83,860,0.00
83,560,5.97
83,585,1.91
83,645,2.46
83,705,0.36
83,900,0.00
83,940,0.00
83,410,0.96
83,435,3.64
83,460,3.74
83,485,6.67
83,510,3.20
83,535,4.30
 
84,610,16.54
84,680,1.97
84,730,1.68
84,760,1.72
84,810,0.85
84,860,0.00
84,560,6.97
84,585,4.29
84,645,5.32
84,705,0.36
84,900,0.00
84,940,0.00
84,410,1.91
84,435,7.27
84,460,8.41
84,485,11.43
84,510,17.62
84,535,5.01
 
85,610,219.43
85,680,111.06
85,730,35.34
85,760,42.95
85,810,40.99
85,860,17.72
85,560,125.95
85,585,84.93
85,645,21.69
85,705,31.08
85,900,2.38
85,940,5.36
85,410,10.51
85,435,105.49
85,460,357.02
85,485,224.87
85,510,452.49
85,535,300.12
 
86,610,178.63
86,680,69.78
86,730,24.40
86,760,29.21
86,810,30.74
86,860,13.00
86,560,122.96
86,585,87.79
86,645,60.97
86,705,32.86
86,900,5.35
86,940,5.36
86,410,10.51
86,435,82.75
86,460,282.25
86,485,222.01
86,510,341.17
86,535,300.83
 
87,610,230.46
87,680,104.18
87,730,36.18
87,760,42.95
87,810,41.84
87,860,18.90
87,560,157.81
87,585,106.88
87,645,70.80
87,705,37.87
87,900,5.95
87,940,7.14
87,410,14.34
87,435,96.39
87,460,324.31
87,485,300.15
87,510,424.46
87,535,387.50
 
88,610,231.56
88,680,103.20
88,730,35.34
88,760,42.09
88,810,39.28
88,860,18.90
88,560,111.51
88,585,75.86
88,645,50.74
88,705,34.65
88,900,4.76
88,940,2.68
88,410,3.82
88,435,20.92
88,460,218.70
88,485,94.33
88,510,313.94
88,535,123.20
 
89,610,15.44
89,680,0.98
89,730,0.84
89,760,0.86
89,810,0.85
89,860,0.00
89,560,6.47
89,585,1.91
89,645,2.46
89,705,0.36
89,900,0.00
89,940,0.00
89,410,0.96
89,435,3.64
89,460,3.74
89,485,6.67
89,510,3.20
89,535,4.30
 
90,610,24.26
90,680,9.83
90,730,3.37
90,760,2.58
90,810,1.71
90,860,1.18
90,560,5.97
90,585,2.39
90,645,4.91
90,705,1.43
90,900,0.00
90,940,0.00
90,410,1.91
90,435,4.55
90,460,3.74
90,485,6.67
90,510,4.00
90,535,5.01
 
91,610,893.15
91,680,527.80
91,730,195.20
91,760,97.92
91,810,81.13
91,860,60.25
91,560,88.11
91,585,157.45
91,645,335.15
91,705,208.97
91,900,12.49
91,940,15.18
91,410,23.90
91,435,73.66
91,460,175.70
91,485,129.59
91,510,166.58
91,535,174.05
 
