time,lasttime,lat,lng,speed,course,altitude,comment
2018-11-01 14:15:36,2018-11-01 14:15:36,37.45383,-122.19033,4,312,3.00,""
2018-11-01 14:58:05,2018-11-01 14:58:41,37.45333,-122.18950,41,33,13.00,""
2018-11-01 14:59:05,2018-11-01 14:59:05,37.45550,-122.18767,0,27,6.00,"6th~Sense"
2018-11-01 15:01:05,2018-11-01 15:01:05,37.45917,-122.19400,57,301,8.00,"6th~Sense"
2018-11-01 15:03:05,2018-11-01 15:04:01,37.46733,-122.18967,0,32,7.00,"6th~Sense"
2018-11-01 15:09:32,2018-11-01 15:09:32,37.48350,-122.18067,33,294,2.00,"6th~Sense"
2018-11-01 15:13:32,2018-11-01 15:13:32,37.49567,-122.23100,94,289,-6.00,"6th~Sense"
2018-11-01 15:14:32,2018-11-01 15:14:32,37.50483,-122.24567,106,318,-6.00,"6th~Sense"
2018-11-01 15:26:32,2018-11-01 15:26:32,37.57150,-122.31450,22,319,-3.00,"6th~Sense"
2018-11-01 15:44:31,2018-11-01 15:44:31,37.67500,-122.38900,30,20,6.00,"6th~Sense"
2018-11-01 15:51:31,2018-11-01 15:51:31,37.72783,-122.40267,17,343,13.00,"6th~Sense"
2018-11-01 16:06:31,2018-11-01 16:06:31,37.82133,-122.33250,109,80,10.00,"6th~Sense"
2018-11-01 16:13:31,2018-11-01 16:13:31,37.91017,-122.31683,111,339,9.00,"6th~Sense"
2018-11-01 17:01:18,2018-11-01 17:01:18,38.46283,-121.97417,15,295,50.00,"6th~Sense"
2018-11-01 20:04:04,2018-11-01 20:04:53,38.46133,-121.97900,50,199,47.00,"6th~Sense"
2018-11-01 20:05:04,2018-11-01 20:05:04,38.45733,-121.97967,30,185,142.00,"6th~Sense"
2018-11-01 20:06:03,2018-11-01 20:06:03,38.45350,-121.97817,26,143,215.00,"6th~Sense"
2018-11-01 20:07:03,2018-11-01 20:07:03,38.45017,-121.97483,19,170,226.00,"6th~Sense"
2018-11-01 20:08:03,2018-11-01 20:09:10,38.44900,-121.97433,11,145,246.00,"6th~Sense"
2018-11-01 20:09:32,2018-11-01 20:09:32,38.44633,-121.97500,22,178,772.00,"6th~Sense"
2018-11-01 20:11:32,2018-11-01 20:11:32,38.43933,-121.97350,30,158,2253.00,"6th~Sense"
2018-11-01 20:12:32,2018-11-01 20:12:32,38.43417,-121.97100,41,151,2600.00,"6th~Sense"
2018-11-01 20:13:32,2018-11-01 20:13:32,38.42800,-121.96833,52,160,2951.00,"6th~Sense"
2018-11-01 20:14:32,2018-11-01 20:14:32,38.42150,-121.96600,41,178,3279.00,"6th~Sense"
2018-11-01 20:15:32,2018-11-01 20:15:32,38.41567,-121.96467,44,167,3622.00,"6th~Sense"
2018-11-01 20:16:32,2018-11-01 20:16:32,38.40900,-121.96233,50,159,3963.00,"6th~Sense"
2018-11-01 20:17:32,2018-11-01 20:17:32,38.40250,-121.96000,46,166,4332.00,"6th~Sense"
2018-11-01 20:18:32,2018-11-01 20:18:32,38.39467,-121.95783,59,161,4713.00,"6th~Sense"
2018-11-01 20:19:32,2018-11-01 20:19:32,38.38600,-121.95583,61,172,5060.00,"6th~Sense"
