"Latest: Time (s)","Latest: CO2 (ppm)"
0,332
4,332
8,330
12,326
16,322
20,322
24,322
28,322
32,322
36,322
40,322
44,322
48,322
52,322
56,324
60,326
64,323
68,323
72,321
76,322
80,320
84,321
88,319
92,318
96,318
100,320
104,319
108,317
112,318
116,318
120,317
124,316
128,314
132,312
136,312
140,311
144,310
148,310
152,310
156,308
160,310
164,309
168,309
172,310
176,309
180,310
184,311
188,309
192,311
196,311
200,310
204,309
208,308
212,308
216,307
220,304
224,305
228,303
232,302
