date, time,lasttime,lat,lng,speed,course,altitude,comment
2018-11-01, 20:04:04,2018-11-01 20:04:53,38.46133,-121.97900,50,199,47.00,"6th~Sense"
2018-11-01, 20:05:04,2018-11-01 20:05:04,38.45733,-121.97967,30,185,142.00,"6th~Sense"
2018-11-01, 20:06:03,2018-11-01 20:06:03,38.45350,-121.97817,26,143,215.00,"6th~Sense"
2018-11-01, 20:07:03,2018-11-01 20:07:03,38.45017,-121.97483,19,170,226.00,"6th~Sense"
2018-11-01, 20:08:03,2018-11-01 20:09:10,38.44900,-121.97433,11,145,246.00,"6th~Sense"
2018-11-01, 20:09:32,2018-11-01 20:09:32,38.44633,-121.97500,22,178,772.00,"6th~Sense"
2018-11-01, 20:11:32,2018-11-01 20:11:32,38.43933,-121.97350,30,158,2253.00,"6th~Sense"
2018-11-01, 20:12:32,2018-11-01 20:12:32,38.43417,-121.97100,41,151,2600.00,"6th~Sense"
2018-11-01, 20:13:32,2018-11-01 20:13:32,38.42800,-121.96833,52,160,2951.00,"6th~Sense"
2018-11-01, 20:14:32,2018-11-01 20:14:32,38.42150,-121.96600,41,178,3279.00,"6th~Sense"
2018-11-01, 20:15:32,2018-11-01 20:15:32,38.41567,-121.96467,44,167,3622.00,"6th~Sense"
2018-11-01, 20:16:32,2018-11-01 20:16:32,38.40900,-121.96233,50,159,3963.00,"6th~Sense"
2018-11-01, 20:17:32,2018-11-01 20:17:32,38.40250,-121.96000,46,166,4332.00,"6th~Sense"
2018-11-01, 20:18:32,2018-11-01 20:18:32,38.39467,-121.95783,59,161,4713.00,"6th~Sense"
2018-11-01, 20:19:32,2018-11-01 20:19:32,38.38600,-121.95583,61,172,5060.00,"6th~Sense"
2018-11-01, 20:20:32,2018-11-01 20:20:32,38.37700,-121.95200,78,159,5456.00,"6th~Sense"
2018-11-01, 20:21:32,2018-11-01 20:21:32,38.36717,-121.94650,70,155,5730.00,"6th~Sense"
2018-11-01, 20:22:32,2018-11-01 20:22:32,38.35800,-121.94050,67,155,6137.00,"6th~Sense"
2018-11-01, 20:23:32,2018-11-01 20:23:32,38.34883,-121.93450,67,155,6531.00,"6th~Sense"
2018-11-01, 20:24:32,2018-11-01 20:24:32,38.33933,-121.92783,83,153,6944.00,"6th~Sense"
2018-11-01, 20:25:32,2018-11-01 20:25:32,38.32867,-121.92050,89,151,7220.00,"6th~Sense"
2018-11-01, 20:26:32,2018-11-01 20:27:19,38.31750,-121.91150,94,150,7713.00,"6th~Sense"
2018-11-01, 20:27:32,2018-11-01 20:28:19,38.30500,-121.90367,89,157,8093.00,"6th~Sense"
2018-11-01, 20:28:32,2018-11-01 20:28:32,38.29183,-121.89533,100,151,8477.00,"6th~Sense"
2018-11-01, 20:29:32,2018-11-01 20:29:32,38.27833,-121.88450,106,156,9122.00,"6th~Sense"
2018-11-01, 20:30:32,2018-11-01 20:30:32,38.26383,-121.87317,109,153,9449.00,"6th~Sense"
2018-11-01, 20:31:32,2018-11-01 20:31:32,38.24933,-121.86133,111,143,9679.00,"6th~Sense"
2018-11-01, 20:34:36,2018-11-01 20:34:36,38.21117,-121.83100,87,150,9955.00,"6th~Sense"
2018-11-01, 21:04:36,2018-11-01 21:12:41,38.20467,-121.82633,0,0,9946.00,"6th~Sense"
2018-11-01, 21:16:36,2018-11-01 21:16:36,37.78283,-121.58250,107,156,8185.00,"6th~Sense"
2018-11-01, 21:18:36,2018-11-01 21:18:36,37.76383,-121.57100,83,163,6226.00,"6th~Sense"
2018-11-01, 21:19:36,2018-11-01 21:19:36,37.75433,-121.56883,70,174,5356.00,"6th~Sense"
2018-11-01, 21:20:36,2018-11-01 21:20:36,37.74717,-121.56717,61,178,4487.00,"6th~Sense"
2018-11-01, 21:21:36,2018-11-01 21:21:36,37.74067,-121.56583,56,197,3690.00,"6th~Sense"
2018-11-01, 21:22:36,2018-11-01 21:23:27,37.73450,-121.56600,57,168,2877.00,"6th~Sense"
2018-11-01, 21:23:36,2018-11-01 21:23:36,37.72867,-121.56550,30,183,2415.00,"6th~Sense"
2018-11-01, 21:24:36,2018-11-01 21:24:36,37.72450,-121.56450,46,173,1858.00,"6th~Sense"
2018-11-01, 21:26:40,2018-11-01 21:26:40,37.71667,-121.56417,26,189,1030.00,"6th~Sense"
2018-11-01, 21:29:01,2018-11-01 21:29:01,37.72133,-121.56650,9,224,666.00,"6th~Sense"
2018-11-01, 21:33:13,2018-11-01 21:33:13,37.72217,-121.56567,19,210,378.00,"6th~Sense"
2018-11-01, 21:36:23,2018-11-01 21:36:23,37.72300,-121.56517,11,215,240.00,"6th~Sense"
