Arduino (%),Standard (%)
32.11,22.03
32.12,21.74
32.12,21.59
32.12,21.74
32.12,22.03
32.12,21.59
32.12,21.89
32.12,21.74
32.11,21.89
32.1,21.89
32.1,21.59
32.1,21.74
32.11,21.89
32.12,22.33
32.12,21.89
32.12,21.44
32.11,21.44
32.11,21.59
51.52,38.82
51.65,38.97
51.76,39.27
51.86,39.12
51.93,39.86
51.97,39.27
52,39.42
52.06,39.42
52.13,38.53
52.2,39.42
52.27,40.01
52.32,40.01
52.38,40.01
52.46,39.57
52.55,40.31
64.83,52.49
64.87,52.2
64.92,52.2
64.96,52.35
65.01,52.79
65.05,52.2
65.08,52.79
65.14,52.94
65.17,52.64
65.22,52.49
65.27,52.35
65.33,52.49
71.21,60.07
71.26,59.92
71.36,60.07
71.47,60.22
71.59,60.81
71.75,60.37
71.87,60.22
71.98,60.22
72.08,60.22
72.26,60.22
72.63,60.37
73,59.77
73.41,60.52
74.51,60.67
80.53,66.76
80.61,66.76
80.68,66.76
80.75,66.76
80.82,66.46
80.9,66.46
80.98,64.68
81.03,66.31
81.1,66.31
81.15,65.87
81.2,66.31
81.25,66.31
