Time,Arduino output
1.597938144,492.1
3.195876288,492.4
4.793814432,492.3
6.391752576,492.1
7.98969072,492
9.587628864,492.1
11.18556701,492.5
12.78350515,492.7
14.3814433,492.5
15.97938144,492.4
17.57731958,492.2
19.17525773,492.1
20.77319587,492.5
22.37113402,492.3
23.96907216,492.3
25.5670103,492.5
27.16494845,492.5
28.76288659,492.4
30.36082474,492.2
31.95876288,492.6
33.55670102,492.5
35.15463917,492.3
36.75257731,492.2
38.35051546,492.4
39.9484536,492.1
41.54639174,492.2
43.14432989,492.1
44.74226803,492.7
46.34020618,492.6
47.93814432,492.3
49.53608246,492.4
51.13402061,492.2
52.73195875,492.2
54.3298969,492
55.92783504,492.1
57.52577318,492.2
59.12371133,492.5
60.72164947,492
62.31958762,492.2
63.91752576,492.3
65.5154639,492
67.11340205,492.4
68.71134019,492.4
70.30927834,492.2
71.90721648,492.2
73.50515462,492.2
75.10309277,492.4
76.70103091,492.3
78.29896906,492.1
79.8969072,492.6
81.49484534,492.2
83.09278349,492.3
84.69072163,492.2
86.28865978,492.1
87.88659792,492.1
89.48453606,492.2
91.08247421,492.3
92.68041235,492.3
94.2783505,492.2
95.87628864,492.7
97.47422678,492.3
99.07216493,492
100.6701031,492.3
102.2680412,492.5
103.8659794,492.5
105.4639175,492.3
107.0618556,492.4
108.6597938,492.1
110.2577319,491.9
111.8556701,492.5
113.4536082,492
115.0515464,492.1
116.6494845,492
118.2474227,492
119.8453608,492.1
121.4432989,492.1
123.0412371,492.1
124.6391752,492.2
126.2371134,492.1
127.8350515,492.1
129.4329897,492.2
131.0309278,492.3
132.628866,492.1
134.2268041,492.2
135.8247422,492.3
137.4226804,492.4
139.0206185,492.1
140.6185567,492.1
142.2164948,490
143.814433,486.3
145.4123711,428.9
147.0103092,366.6
148.6082474,322.2
150.2061855,286.5
151.8041237,256.8
153.4020618,233
155,213
156.5979381,196.5
158.1958763,182
159.7938144,169.6
161.3917525,158.7
162.9896907,149
164.5876288,141.6
166.185567,134.8
167.7835051,129.2
169.3814433,124.7
170.9793814,120.7
172.5773196,117.2
174.1752577,114.5
175.7731958,112.1
177.371134,110.2
178.9690721,108.7
180.5670103,107.2
182.1649484,106.2
183.7628866,105.2
185.3608247,105.1
186.9587628,105.5
188.556701,105.3
190.1546391,105.3
191.7525773,105.7
193.3505154,105.4
194.9484536,105.7
196.5463917,105.5
198.1443299,105.8
199.742268,105.7
201.3402061,105.8
202.9381443,106
204.5360824,105.9
206.1340206,105.8
207.7319587,105.9
209.3298969,105.9
210.927835,105.9
212.5257732,105.8
214.1237113,105.8
215.7216494,106.1
217.3195876,122.7
218.9175257,141.9
220.5154639,150
222.113402,149.4
223.7113402,149.3
225.3092783,149.2
226.9072164,149
228.5051546,149.1
230.1030927,149.1
231.7010309,149.2
233.298969,149.1
234.8969072,149.5
236.4948453,149.3
238.0927835,149.4
239.6907216,149
241.2886597,149.6
242.8865979,149.4
244.484536,149.5
246.0824742,149.6
247.6804123,149.7
249.2783505,149.5
250.8762886,149.9
252.4742268,149.9
254.0721649,149.6
255.670103,149.7
257.2680412,149.5
258.8659793,149.8
260.4639175,188
262.0618556,210.1
263.6597938,208.9
265.2577319,208
266.85567,208.2
268.4536082,207.9
270.0515463,207.9
271.6494845,208
273.2474226,207.7
274.8453608,207.8
276.4432989,208
278.0412371,208
279.6391752,207.8
281.2371133,208
282.8350515,207.9
284.4329896,207.9
286.0309278,208
287.6288659,207.8
289.2268041,208
290.8247422,208
292.4226804,208
294.0206185,207.9
295.6185566,208
297.2164948,208
298.8144329,208
300.4123711,209
302.0103092,271.9
303.6082474,277.8
305.2061855,276.3
306.8041236,275.6
308.4020618,275.5
309.9999999,275.1
311.5979381,275
313.1958762,274.9
314.7938144,274.9
316.3917525,274.8
317.9896907,274.3
319.5876288,274.4
321.1855669,274.4
322.7835051,274.4
324.3814432,274.3
325.9793814,274.3
327.5773195,274.1
329.1752577,274.4
330.7731958,274.5
332.371134,274.1
333.9690721,274.4
335.5670102,274.2
337.1649484,274.1
338.7628865,282
340.3608247,335.9
341.9587628,349
343.556701,347.1
345.1546391,346.2
346.7525772,345.9
348.3505154,345.3
349.9484535,344.9
351.5463917,345
353.1443298,344.9
354.742268,344.1
356.3402061,344
357.9381443,344.1
359.5360824,344
361.1340205,343.9
362.7319587,343.9
364.3298968,343.5
365.927835,343.4
367.5257731,343.4
369.1237113,415.5
370.7216494,415
372.3195876,412.9
373.9175257,411.5
375.5154638,411
377.113402,410.3
378.7113401,410
380.3092783,409.5
381.9072164,409.5
383.5051546,409.3
385.1030927,409.3
386.7010308,409.2
388.298969,409.5
389.8969071,409.5
391.4948453,410
393.0927834,409.8
394.6907216,409.9
396.2886597,410
397.8865979,410
399.484536,410
401.0824741,409.7
402.6804123,410
404.2783504,492
405.8762886,492.3
407.4742267,492.1
409.0721649,492.1
410.670103,492.4
412.2680412,492.1
413.8659793,492.3
415.4639174,492.1
417.0618556,492.2
418.6597937,492.5
420.2577319,492.3
421.85567,500
423.4536082,500.3
425.0515463,499.1
426.6494844,492.4
428.2474226,492.4
429.8453607,492.2
431.4432989,492.1
433.041237,500.1
434.6391752,500.2
436.2371133,500.1
437.8350515,500.2
439.4329896,500.2
441.0309277,500.2
442.6288659,500.3
444.226804,500
445.8247422,500.2
447.4226803,500.1
449.0206185,500.1
450.6185566,500.2
452.2164948,500.2
453.8144329,500.2
455.412371,500.4
457.0103092,500.1
458.6082473,500
460.2061855,500.1
461.8041236,500.2
463.4020618,500
464.9999999,500.1
