time, height, pres, temp
12:59:57, -46.93, 101.89, 34.74
13:00:09, 6.19, 101.89, 34.74
13:00:21, 26.19, 101.64, 34.85
13:00:33, -68.45, 102.15, 35.18
13:00:45, -68.45, 102.15, 35.40 
13:00:57, -26.19, 101.6,  35.18 
13:01:09, 4.58, 101.38, 35.29 
13:01:22, 4.58, 101.38, 34.85
13:01:34, -4.58, 101.38, 34.63 
13:01:46, -4.58, 101.41, 34.52 
13:01:58, -78, 101.41, 34.41
13:02:11, -8.4, 101.4, 30.26
13:02:23, -26.19, 101.64, 34.30 
13:02:36, -26.19, 101.64, 34.30
13:02:48, -.58, 101.38, 34.30
13:03:00, 104.16, 100.11, 32.79
13:05:40, 16.56, 99.39, 32.25
13:05:53, 4.04, 98.83, 31.83
13:06:00, 288.23, 97.94, 31.09
13:06:18, 296.79, 97.80, 30.56 
13:06:31, 340.56, 97.30, 29.6 
13:06:43, 373.89, 95.6, 26.09 
13:06:00, 428.59, 95.6, 26.09
13:07:50, 451.26, 96.02, 28.18 
13:07:07, 585.15, 94.49, 27.36 
13:07:19, 585.15, 94.90, 27.7
13:07:32, 698.52, 93.21, 26.85
13:07:44, 698.52, 93.21, 26.65
13:07:56, 835.70, 91.68, 25.74
13:08:08, 835.70, 91.68, 25.74 
13:08:20, 928.18, 90.66, 25.33
13:08:33, 989.39, 90.15, 25.05
13:08:45, 1021.51, 89.64, 24.73
13:08:57, 1114.07, 88.10, 24.23
13:09:09, 1164.07, 88.10, 24.00
13:09:21, 1231.60, 87.00, 23.43 
13:09:33, 1273.73, 86.93, 23.10
13:09:45, 1404.62, 85.55, 22.83
13:09:57, 1502.4, 84.53, 22.14
13:10:09, 1514.40, 84.78, 21.74 
13:10:21, 1551.75, 84.02, 21.15 
13:10:33, 1601.27, 83.51, 21.15
13:10:45, 1676.51, 82.74, 20.65
13:10:57, 1802.85, 81.46, 20.36 
13:11:09, 1853.64, 80.95, 19.86
13:11:21, 1929.80, 80.19, 19.37
13:11:34, 1959.09, 80.08, 19.57
13:11:46, 2087.99, 78.60, 18.78
13:11:58, 2085.94, 78.65, 18.78
13:12:10, 2216.59, 77.38, 17.99
13:12:22, 2238.35, 77.30, 17.69
13:12:34, 2329.05, 76.15, 17.20
13:12:46, 2382.61, 75.69, 17.30
13:12:58, 2401.59, 75.59, 17.40
13:13:10, 2536.50, 74.31, 16.81
13:13:23, 2594.43, 73.83, 16.21
13:13:35, 2594.43, 73.80, 15.92
13:13:47, 2624.60, 73.54, 15.23
